Ignore,Ignore,Ignore,Ignore,Source,Target,Value,Color,,Label,Number,X,Y,Left side of sankey below this line
Admin - INY,Industry,,Making emissions visible,62,0,6,#edbd93,,Admin - INY,0,,,
Aviation,Industry,2,Legacy,62,1,0,#edbd93,,Aviation,1,0.5,0.05,
Freight and transport,Industry,2,Mobility decarbonization,62,2,3,#edbd93,,Freight and transport,2,0.5,0.07,
Methane,Industry,8,Making emissions visible,62,3,8,#edbd93,,Methane,3,0.5,0.09,
Mining,Industry,7,Legacy,62,4,2,#edbd93,,Mining,4,0.5,0.11,
COMET,Industry,2,Making emissions visible,62,5,2,#edbd94,,COMET,5,,,
Hydrogen,Industry,Not listed,Breakthrough technology,62,6,0,#edbd93,,Hydrogen,6,0.5,0.13,
Green steel,Industry,Not listed,Climate-aligned sectors,62,7,0,#edbd93,,Green steel,7,0.5,0.15,
Pathways to Zero,Buildings,6,Building decarbonization,63,8,6,#ebc334,,Pathways to Zero,8,0.5,0.17,
Residential Energy +,Buildings,3,Building decarbonization,63,9,3,#ebc334,,Residential Energy +,9,0.5,0.19,
Portfolio Energy Optimization,Buildings,5,Building decarbonization,63,10,5,#ebc334,,Portfolio Energy Optimization,10,0.5,0.21,
Global Cooling Prize,Buildings,4,Building decarbonization,63,11,4,#ebc334,,Global Cooling Prize,11,0.5,0.23,
Realize,Buildings,4,Building decarbonization,63,12,4,#ebc334,,Realize,12,0.5,0.25,
States and Cities campaigns (including city cohorts),Building Electrification,6,Building decarbonization,64,13,6,#d6eb34,,States and Cities campaigns (including city cohorts),13,0.5,0.27,
Media and Communications,Building Electrification,1,Building decarbonization,64,14,1,#d6eb34,,Media and Communications,14,0.5,0.29,
Health/ Air Pollution,Building Electrification,1,Building decarbonization,64,15,1,#d6eb34,,Health/ Air Pollution,15,0.5,0.31,
Regulatory/Utility Solutions,Building Electrification,3,Building decarbonization,64,16,3,#d6eb34,,Regulatory/Utility Solutions,16,0.5,0.33,
Technical Support and Research,Building Electrification,2,Building decarbonization,64,17,2,#d6eb34,,Technical Support and Research,17,0.5,0.35,
Coal End Game,Electricity,6.3,Power sector decarbonization,65,18,10.7,#77eb34,,Coal End Game,18,0.5,0.37,
Distributed grid infrastructure (CEP),Electricity,5,Power sector decarbonization,65,19,8.25,#77eb34,,Distributed grid infrastructure (CEP),19,0.5,0.39,
Utility Models,Electricity,,Power sector decarbonization,65,20,0,#77eb34,,Utility Models,20,0.5,0.41,
eLab,Electricity,4,Power sector decarbonization,65,21,7.5,#77eb34,,eLab,21,0.5,0.43,
Shine,Electricity,2,Legacy,65,22,0,#77eb34,,Shine,22,0.5,0.45,
Business models and regulatory design,Electricity,8.7,Power sector decarbonization,65,23,8.3,#77eb34,,Business models and regulatory design,23,0.5,0.47,
Zero carbon cities implementation,China,7,China Strategy,66,24,7,#34ebc3,,Zero carbon cities implementation,24,0.5,0.49,
Power market reform,China,6,China Strategy,66,25,6,#34ebc3,,Power market reform,25,0.5,0.51,
Harder to abate,China,7,China Strategy,66,26,7,#34ebc3,,Harder to abate,26,0.5,0.53,
EV grid,Mobility,2,Mobility decarbonization,67,27,2,#34c9eb,,EV grid,27,0.5,0.55,
Mobility Innovation Lab,Mobility,3,Mobility decarbonization,67,28,3,#34c9eb,,Mobility Innovation Lab,28,0.5,0.57,
eBuses/fleets,Mobility,4,Mobility decarbonization,67,29,4,#34c9eb,,eBuses/fleets,29,0.5,0.59,
Mobility data,Mobility,0,Mobility decarbonization,67,30,0,#34c9eb,,Mobility data,30,0.5,0.61,
Urban Mobility Lab,India,7.5,India Strategy,68,31,8,#a6cff7,,Urban Mobility Lab,31,0.5,0.63,
National Mobility Platform,India,5,India Strategy,68,32,6,#a6cff7,,National Mobility Platform,32,0.5,0.65,
DISCOM transformation platform,India,3.5,India Strategy,68,33,2,#a6cff7,,DISCOM transformation platform,33,0.5,0.67,
Third Derivative (Energy collaborative),RMI Ventures,2.3,Breakthrough technology,69,34,2.3,#eff7a6,,Third Derivative (Energy collaborative),34,0.5,0.69,
"Market affiliates (EWF, WattTime etc)",RMI Ventures,0,Making emissions visible,69,35,0,#eff7a6,,"Market affiliates (EWF, WattTime etc)",35,0.5,0.71,
Admin - ECE,ECE,,Sharing the Power,70,36,8,#ffb3e6,,Admin - ECE,36,,,
Minigrids,ECE,2,Sharing the Power,70,37,2,#ffb3e6,,Minigrids,37,0.5,0.73,
Productive Use,ECE,6,Implementation unit,70,38,6,#ffb3e6,,Productive Use,38,0.5,0.75,
Islands,ECE,11,Implementation unit,70,39,11,#ffb3e6,,Islands,39,0.5,0.77,
SE Asia,ECE,2,Implementation unit,70,40,2,#ffb3e6,,SE Asia,40,0.5,0.79,
Power sector DERs,ECE,5,Implementation unit,70,41,5,#ffb3e6,,Power sector DERs,41,,,
Climate Aligned Finance,Global Climate Finance,,Climate-aligned sectors,71,46,1.5,#ffb3b3,,Admin - GCF,42,,,
Climate Finance Access Network,Global Climate Finance,2,Sharing the Power,71,43,3,#ffb3b3,,Climate Finance Access Network,43,0.5,0.81,
Coal Financing,Global Climate Finance,0.5,Power sector decarbonization,71,44,1,#ffb3b3,,Coal Financing,44,0.5,0.83,
Green Investment Bank,Global Climate Finance,2,Sharing the Power,71,45,3,#ffb3b3,,Green Investment Bank,45,0.5,0.85,
Climate Aligned Finance,Global Climate Finance,7,Climate-aligned sectors,71,46,6,#ffb3b3,,Climate Aligned Finance,46,0.5,0.87,
Results Based Climate Finance,Global Climate Finance,4,Legacy,71,47,0,#ffb3b3,,Results Based Climate Finance,47,0.5,0.89,
America's Pledge,Carbon-Free Cities and Regions,4,US Policy,72,48,4,#d2b3ff,,America's Pledge,48,0.5,0.91,
Beyond Carbon,Carbon-Free Cities and Regions,4,US Policy,72,49,7,#d2b3ff,,Beyond Carbon,49,0.5,0.93,
Cities Renewable Accelerator,Carbon-Free Cities and Regions,10,Urban transformation,72,50,10,#d2b3ff,,Cities Renewable Accelerator,50,0.5,0.95,
Admin - ES,Emerging Solutions,,Emerging Solutions [PC],73,51,2.5,#deff63,,Admin - ES,51,,,
Pathways for Global Energy Transformation,Emerging Solutions,6,Emerging Solutions [PC],73,52,5.75,#deff63,,Pathways for Global Energy Transformation,52,,,
Global Energy Solutions Lab,Emerging Solutions,5,Emerging Solutions [PC],73,53,2.25,#deff63,,Global Energy Solutions Lab,53,,,
Integrative Design,Emerging Solutions,1,Legacy,73,54,0,#deff63,,Integrative Design,54,,,
COM,Communications,,Communications [PC],74,55,13,#ff8833,,COM,55,,,
DEV,Development,,Development [PC],75,56,10,#d9d9d9,,DEV,56,,,
CEO Admin,Operations,,Operations [PC],76,57,6,#32a852,,CEO Admin,57,,,
Finance,Operations,,Operations [PC],76,58,8,#32a852,,Finance,58,,,
HR,Operations,,Operations [PC],76,59,7,#32a852,,HR,59,,,
IT,Operations,,Operations [PC],76,60,4,#32a852,,IT,60,,,
PMO,Operations,,Operations [PC],76,61,4,#32a852,,PMO,61,,,
Admin - INY,Industry,2,Making emissions visible,0,79,6,#edbd93,,Industry,62,0.1,0.05,Right half of sankey below this line
Aviation,Industry,2,Legacy,1,93,0,#edbd93,,Buildings,63,0.1,0.14,
Freight and transport,Industry,8,Mobility decarbonization,2,78,3,#edbd93,,Building Electrification,64,0.1,0.23,
Methane,Industry,7,Making emissions visible,3,79,8,#edbd93,,Electricity,65,0.1,0.32,
Mining,Industry,2,Legacy,4,93,2,#edbd93,,China,66,0.1,0.41,
COMET,Industry,Not listed,Making emissions visible,5,79,2,#edbd94,,Mobility,67,0.1,0.5,
Hydrogen,Industry,Not listed,Breakthrough technology,6,80,0,#edbd93,,India,68,0.1,0.59,
Green steel,Industry,6,Climate-aligned sectors,7,77,0,#edbd93,,RMI Ventures,69,0.1,0.68,
